Genes,Type,Class,Mechanism,Group
MEG_7129|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_2569|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,Drugs,Trimethoprim,Dihydrofolate reductase,DFRB
MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,CPXAR
MEG_7207|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_2819|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,Drugs,MLS,23S rRNA methyltransferases,ERMC
MEG_4072|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRC,Drugs,MLS,MLS resistance ABC efflux pumps,MSRC
MEG_1109|Drugs|betalactams|Class_A_betalactamases|ARL,Drugs,betalactams,Class A betalactamases,ARL
MEG_39|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_5308|Drugs|betalactams|Class_A_betalactamases|OXY,Drugs,betalactams,Class A betalactamases,OXY
MEG_1112|Drugs|betalactams|Class_A_betalactamases|ARL,Drugs,betalactams,Class A betalactamases,ARL
MEG_2533|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_4672|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3838|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,Metals,Mercury resistance,Mercury resistance protein,MERA
MEG_4173|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,Metals,Nickel resistance,Nickel ABC efflux pumps,NIKE
MEG_2757|Drugs|MLS|23S_rRNA_methyltransferases|ERM,Drugs,MLS,23S rRNA methyltransferases,ERM
MEG_909|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1431|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_2576|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD,Drugs,Trimethoprim,Dihydrofolate reductase,DFRD
MEG_778|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2990|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA
MEG_3124|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_3834|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MEPA,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,MEPA
MEG_7117|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_1771|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMLA
MEG_1695|Drugs|betalactams|Class_A_betalactamases|CFX,Drugs,betalactams,Class A betalactamases,CFX
MEG_7461|Drugs|Glycopeptides|VanB-type_regulator|VANRB,Drugs,Glycopeptides,VanB-type regulator,VANRB
MEG_2816|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,Drugs,MLS,23S rRNA methyltransferases,ERMC
MEG_6013|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRD
MEG_758|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_969|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6912|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_275|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_7057|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETC
MEG_3512|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,KPN
MEG_1403|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1390|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_3908|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXE,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXE
MEG_3894|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,Metals,Mercury resistance,Mercury resistance protein,MERT
MEG_4195|Metals|Nickel_resistance|Nickel_resistance_protein|NIRA,Metals,Nickel resistance,Nickel resistance protein,NIRA
MEG_7838|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_SMR_efflux_pump|YKKC,Multi-compound,Drug and biocide and metal resistance,Drug and biocide and metal SMR efflux pump,YKKC
MEG_1785|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMX
MEG_6864|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_6913|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1648|Drugs|betalactams|Class_A_betalactamases|CEPA,Drugs,betalactams,Class A betalactamases,CEPA
MEG_988|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
MEG_233|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1420|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_966|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6707|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_2717|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|EMHC,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,EMHC
MEG_7631|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,Drugs,MLS,Streptogramin A O-acetyltransferase,VATE
MEG_7397|Drugs|Glycopeptides|VanG-type_resistance_protein|VANG,Drugs,Glycopeptides,VanG-type resistance protein,VANG
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2910|Drugs|betalactams|Class_B_betalactamases|FIM,Drugs,betalactams,Class B betalactamases,FIM
MEG_6950|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3787|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_3293|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|ICR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,ICR
MEG_2812|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,Drugs,MLS,23S rRNA methyltransferases,ERMC
MEG_901|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6593|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_802|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6637|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
MEG_4425|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_769|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6575|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,Biocides,Multi-biocide resistance,Multi-biocide SMR efflux pump,SUGE
MEG_3647|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAC,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,LSAC
MEG_1414|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4986|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_759|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_3607|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUA
MEG_4601|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3068|Drugs|Fusidic_acid|Ribosomal_zinc-binding_protein|FUSC,Drugs,Fusidic acid,Ribosomal zinc-binding protein,FUSC
MEG_2923|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_1064|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MEG_2674|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,Drugs,Cationic antimicrobial peptides,Lipid A modification,UGD
MEG_1854|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ACRA
MEG_3846|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,Metals,Mercury resistance,Mercury resistance protein,MERB
MEG_1567|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_5930|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_1546|Drugs|betalactams|Class_A_betalactamases|CARB,Drugs,betalactams,Class A betalactamases,CARB
MEG_7136|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_3822|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,Drugs,MLS,MLS resistance MFS efflux pumps,MEFA
MEG_6164|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,Drugs,Nucleosides,Streptothricin acetyltransferase,SAT
MEG_256|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2051|Metals|Copper_resistance|Copper_resistance_protein|COPD,Metals,Copper resistance,Copper resistance protein,COPD
MEG_2882|Drugs|betalactams|Class_A_betalactamases|FAR1,Drugs,betalactams,Class A betalactamases,FAR1
MEG_3887|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2,Metals,Mercury resistance,Mercury resistance regulator,MERR2
MEG_870|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_221|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2784|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,Drugs,MLS,23S rRNA methyltransferases,ERMA
MEG_1022|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_3848|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,Metals,Mercury resistance,Mercury resistance protein,MERB
MEG_803|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6600|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_1122|Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA,Drugs,Cationic antimicrobial peptides,Polymyxin B resistance regulator,ARNA
MEG_402|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ACRB
MEG_2735|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRRSM,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux regulator,EMRRSM
MEG_6762|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_6522|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,SME
MEG_5795|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|PMRA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,PMRA
MEG_3938|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXX,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXX
MEG_3097|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_7242|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,Drugs,Tetracyclines,Tetracycline inactivation enzymes,TETX
MEG_1476|Drugs|betalactams|Class_A_betalactamases|BRO,Drugs,betalactams,Class A betalactamases,BRO
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
MEG_3614|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUF
MEG_6992|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40
MEG_7504|Drugs|Glycopeptides|VanD-type_regulator|VANSD,Drugs,Glycopeptides,VanD-type regulator,VANSD
MEG_2930|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_3782|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_7183|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ
MEG_7069|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETD,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETD
MEG_821|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1404|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_3780|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_7841|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,YODB
MEG_1352|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1541|Drugs|betalactams|Class_A_betalactamases|CARB,Drugs,betalactams,Class A betalactamases,CARB
MEG_7142|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_4178|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMA,Drugs,Metronidazole,nim nitroimidazole reductase,NIMA
MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_1840|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_2824|Drugs|MLS|23S_rRNA_methyltransferases|ERMD,Drugs,MLS,23S rRNA methyltransferases,ERMD
MEG_1992|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_6501|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,SILC
MEG_1393|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1055|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_216|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6949|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_2032|Metals|Copper_resistance|Copper_resistance_protein|COPA,Metals,Copper resistance,Copper resistance protein,COPA
MEG_1769|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMLA
MEG_7543|Drugs|Glycopeptides|VanG-type_accessory_protein|VANWG,Drugs,Glycopeptides,VanG-type accessory protein,VANWG
MEG_764|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1385|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1791|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_2905|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,FEXA
MEG_6141|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,Biocides,Multi-biocide resistance,Multi-biocide resistance regulator,RPOS
MEG_2771|Drugs|MLS|23S_rRNA_methyltransferases|ERM,Drugs,MLS,23S rRNA methyltransferases,ERM
MEG_3136|Drugs|betalactams|Class_A_betalactamases|GIL,Drugs,betalactams,Class A betalactamases,GIL
MEG_7076|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETG,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETG
MEG_2506|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_6651|Metals|Copper_resistance|Copper_resistance_protein|TCRA,Metals,Copper resistance,Copper resistance protein,TCRA
MEG_276|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_7222|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_7867|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,Metals,Zinc resistance,Zinc resistance regulator,ZUR
MEG_126|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_4089|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|MUPA,Drugs,Mupirocin,Mupirocin-resistant isoleucyl-tRNA synthetase,MUPA
MEG_3828|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFC,Drugs,MLS,MLS resistance MFS efflux pumps,MEFC
MEG_7043|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETB
MEG_1422|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_213|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_762|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1578|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_2894|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,Metals,Multi-metal resistance,Multi-metal ABC efflux pumps,FECD
