Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:plasmid:17260,Plasmid,PTTREG,putative translational regulator CitR,pCRL1127_04,NA,NA,NA,NA,NA,NA
gene:vir:79582,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:172682,IS,NA,IS629 transposase OrfB,ECs_3491,IS1203,IS3,IS51,Escherichia coli,1729,0
gene:vir:108746,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14950,Plasmid,Unclassified plasmid gene,YtpD,pTP10_p23,NA,NA,NA,NA,NA,NA
gene:plasmid:14963,IS,NA,Tnp26L,pTP10_p40,IS26,IS6,None,Proteus vulgaris,1398,0
gene:plasmid:91805,IS,NA,putative transposase,KPN_pKPN5p08195,IS15DI,IS6,None,Salmonella panama,1413,0
gene:plasmid:124950,Plasmid,PREPIM,protein rep,SSP_RS12460,NA,NA,NA,NA,NA,NA
gene:plasmid:88688,Plasmid,Hypothetical plasmid protein,hypothetical protein,pIGJC156_03,NA,NA,NA,NA,NA,NA
gene:proph:159089,Prophage,NA,putative ATP-binding protein YdaV,b1360,NA,NA,NA,NA,NA,NA
gene:vir:2708,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19341,Plasmid,Plasmid biosynthesis_regulatory_enzymes,DNA invertase-like protein,pMD136_p24,NA,NA,NA,NA,NA,NA
gene:vir:108408,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:182027,Prophage,NA,phage-like protein,SAB1756c,NA,NA,NA,NA,NA,NA
gene:proph:169617,Prophage,NA,phage protein,MGAS9429_Spy0543,NA,NA,NA,NA,NA,NA
gene:plasmid:145636,Plasmid,Hypothetical plasmid protein,hypothetical protein ORF9 homolog,Manual,NA,NA,NA,NA,NA,NA
gene:plasmid:146001,Plasmid ARG,Plasmid ARG,truncated streptomycin resistance protein,pVEF1_010,NA,NA,NA,NA,NA,NA
gene:plasmid:14940,Plasmid,Plasmid biosynthesis_regulatory_enzymes,CysS,pTP10_p12,NA,NA,NA,NA,NA,NA
gene:proph:163554,Prophage,NA,hypothetical protein,SH2387,NA,NA,NA,NA,NA,NA
gene:plasmid:19879,Plasmid,Unclassified plasmid gene,OrfC,pNS1_p4,NA,NA,NA,NA,NA,NA
gene:vir:99526,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:91591,Plasmid,Hypothetical plasmid protein,hypothetical protein,SNSL254_pSN254_0081,NA,NA,NA,NA,NA,NA
gene:plasmid:17353,Plasmid,Plasmid biosynthesis_regulatory_enzymes,acetyltransferase,pBL1_p1,NA,NA,NA,NA,NA,NA
gene:plasmid:132446,Plasmid,Unclassified plasmid gene,None,pTC68_07,NA,NA,NA,NA,NA,NA
gene:plasmid:13207,Plasmid,Hypothetical plasmid protein,hypothetical protein,BT_RS24250,NA,NA,NA,NA,NA,NA
gene:plasmid:87201,IS,NA,hypothetical protein,Rsph17025_4288,ISPye24,IS5,IS427,Paracoccus yeei,432,2.00E-121
gene:plasmid:84292,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,heat resistance protein YfdX1,OANT_RS23070,NA,NA,NA,NA,NA,NA
gene:plasmid:15664,Plasmid,Hypothetical plasmid protein,hypothetical protein,pRUM_p19,NA,NA,NA,NA,NA,NA
gene:vir:101399,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:159528,Prophage,NA,HU family DNA-binding protein,SPY_RS06185,NA,NA,NA,NA,NA,NA
gene:plasmid:114215,Plasmid,PREPIM,replication protein,SDY_P136,NA,NA,NA,NA,NA,NA
gene:plasmid:90293,Plasmid,PREPIM,StaB,pMTH1_02,NA,NA,NA,NA,NA,NA
gene:proph:161578,Prophage,NA,None,STM2725,NA,NA,NA,NA,NA,NA
gene:proph:159036,Prophage,NA,uncharacterized protein YlcG,b4509,NA,NA,NA,NA,NA,NA
gene:plasmid:153902,Plasmid,Unclassified plasmid gene,ATP/GTP-binding protein,SMR0139,NA,NA,NA,NA,NA,NA
gene:plasmid:150004,Plasmid,Hypothetical plasmid protein,hypothetical protein,LP_RS15655,NA,NA,NA,NA,NA,NA
gene:proph:169108,Prophage,NA,hypothetical protein,SBO_0972,NA,NA,NA,NA,NA,NA
gene:plasmid:30055,TE,NA,transposase,pB4p80,Tn5393,NA,NA,Erwinia amylovora,5673,0
gene:plasmid:121556,Plasmid,Hypothetical plasmid protein,hypothetical protein,LH0039,NA,NA,NA,NA,NA,NA
gene:plasmid:112459,Plasmid,Plasmid biosynthesis_regulatory_enzymes,Pac25I endonuclease,pRA2_20,NA,NA,NA,NA,NA,NA
gene:vir:108894,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:117782,Plasmid,Hypothetical plasmid protein,hypothetical protein,SC012,NA,NA,NA,NA,NA,NA
gene:plasmid:141998,Plasmid,PTTREG,regulator,SBO_P131,NA,NA,NA,NA,NA,NA
gene:plasmid:150814,Plasmid,PREPIM,putative replication initiator and transcription repressor protein,Pnap_4166,NA,NA,NA,NA,NA,NA
gene:proph:179688,Prophage,NA,Phage endonuclease,M6_Spy1146,NA,NA,NA,NA,NA,NA
gene:plasmid:28690,Plasmid,Unclassified plasmid gene,Pre,pSK41_p20,NA,NA,NA,NA,NA,NA
gene:proph:163475,Prophage,NA,hypothetical protein,SH2096,NA,NA,NA,NA,NA,NA
gene:plasmid:19476,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:vir:96645,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:92108,Plasmid,Hypothetical plasmid protein,hypothetical protein,KPN_pKPN4p07137,NA,NA,NA,NA,NA,NA
gene:plasmid:130557,Plasmid,Hypothetical plasmid protein,hypothetical protein,pKB1_p056,NA,NA,NA,NA,NA,NA
rep7_15_rep(pS0385-2)_AM990994.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:103597,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:150029,Plasmid ARG,Plasmid ARG,lincosamide nucleotidyltransferase,pLNU5_p2,NA,NA,NA,NA,NA,NA
gene:proph:159080,Prophage,NA,phage superinfection exclusion protein,b1353,NA,NA,NA,NA,NA,NA
gene:plasmid:157764,Plasmid,Hypothetical plasmid protein,hypothetical protein,LSL_RS00035,NA,NA,NA,NA,NA,NA
gene:plasmid:28673,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSK41_p01,NA,NA,NA,NA,NA,NA
gene:proph:169101,Prophage,NA,hypothetical protein,SBO_0965,NA,NA,NA,NA,NA,NA
gene:proph:178155,Prophage,NA,hypothetical protein,SPs0616,NA,NA,NA,NA,NA,NA
gene:vir:5018,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|399|CTn2|GenBank|AM180355|480597..520127,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:20398,Plasmid,Hypothetical plasmid protein,hypothetical protein,pWWO_p085,NA,NA,NA,NA,NA,NA
gene:vir:105312,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:147103,IS,NA,None,SaurJH1_2804,ISEnfa4,IS256,None,Enterococcus faecealis,383,8.00E-107
gene:proph:162562,Prophage,NA,hypothetical protein,SACOL0355,NA,NA,NA,NA,NA,NA
gene:plasmid:20602,IS,NA,hypothetical protein,D786_p031,ISPre3,IS66,None,Pseudomonas resinovorans,684,0
gene:vir:4535,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:24403,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM2.0079,NA,NA,NA,NA,NA,NA
gene:plasmid:154453,TE,NA,transposon Tn1721 resolvase,pFBAOT6.49,TnAs1,NA,NA,Aeromonas salmonicida,1112,0
gene:plasmid:135662,Plasmid,Hypothetical plasmid protein,hypothetical protein,pRE25p21,NA,NA,NA,NA,NA,NA
gene:plasmid:145500,Plasmid,Unclassified plasmid gene,None,pColE1_04a,NA,NA,NA,NA,NA,NA
gene:vir:103413,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:5719,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:31136,IS,NA,putative transposase,D744_p5013,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1552,0
gene:proph:172422,Prophage,NA,portal protein,ECs0827,NA,NA,NA,NA,NA,NA
gene:vir:105404,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:115785,Plasmid,PTTREG,transcriptional regulator,LSEI_A02,NA,NA,NA,NA,NA,NA
gene:proph:167164,Prophage,NA,hypothetical protein,SERP1521,NA,NA,NA,NA,NA,NA
gene:plasmid:30089,Plasmid,Plasmid relaxase and mobilization machinery,conjugal transfer relaxosome component TraJ,pB10p31,NA,NA,NA,NA,NA,NA
gene:plasmid:88438,Plasmid,Plasmid non_conjugative efflux_transport,ATP-binding protein of phosphonate ABC transporter,KPN_pKPN3p05889,NA,NA,NA,NA,NA,NA
gene:plasmid:15744,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,cloacin lysis protein,CloDF13_01,NA,NA,NA,NA,NA,NA
gene:plasmid:15998,Plasmid,Hypothetical plasmid protein,hypothetical protein,p165897_069,NA,NA,NA,NA,NA,NA
gene:proph:162247,Prophage,NA,phage-related integrase,XCV2484,NA,NA,NA,NA,NA,NA
gene:proph:173886,Prophage,NA,bacteriophage protein,STY1055,NA,NA,NA,NA,NA,NA
gene:plasmid:14323,IS,NA,transposase,pCTX-M3_098,IS15DI,IS6,None,Salmonella panama,1618,0
gene:vir:96894,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:184814,Prophage,NA,group II intron reverse transcriptase/maturase,LREU_RS05720,NA,NA,NA,NA,NA,NA
gene:proph:177429,Prophage,NA,hypothetical protein,Z0316,NA,NA,NA,NA,NA,NA
gene:vir:95300,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14938,Plasmid,Unclassified plasmid gene,LppL,pTP10_p10,NA,NA,NA,NA,NA,NA
gene:plasmid:85082,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW6932_p41,NA,NA,NA,NA,NA,NA
gene:plasmid:135976,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,universal stress protein UspA-like nucleotide-binding protein,LACR_D31,NA,NA,NA,NA,NA,NA
gene:proph:182968,Prophage,NA,phage head completion protein,EcHS_A0928,NA,NA,NA,NA,NA,NA
gene:vir:105401,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:3428,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17361,Plasmid ARG,Plasmid ARG,cadmium efflux ATPase CadA,pAH82_p01,NA,NA,NA,NA,NA,NA
gene:plasmid:133075,IS,NA,transposase/IS protein,YP_pMT095,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1552,0
gene:plasmid:133554,IS,NA,"transposase, orfA",pCAR3_033,ISSsp2,IS3,IS150,Sphingomonas sp.,743,0
gene:vir:101390,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:175020,Prophage,NA,hypothetical protein,t2655,NA,NA,NA,NA,NA,NA
gene:plasmid:82851,TE,NA,hypothetical protein,pLEW279a_p02,TnAs3,NA,NA,Aeromonas salmonicida,248,2.00E-66
gene:plasmid:19758,Plasmid ARG,Plasmid ARG,tetracycline resistance protein,pBC16_p3,NA,NA,NA,NA,NA,NA
gene:plasmid:25182,IS,NA,IS110 orf,pWR501_0055,ISSfl4,IS110,None,Shigella flexneri,2373,0
gene:plasmid:135646,IS,NA,transposase,pRE25p05,IS1216E,IS6,None,Enterococcus faecium,1362,0
gene:vir:108764,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6698,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163948,Prophage,NA,hypothetical protein,EcE24377A_1778,NA,NA,NA,NA,NA,NA
gene:vir:95296,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154094,IS,NA,transposase for IS26,SMR0109,IS26,IS6,None,Proteus vulgaris,1421,0
gene:plasmid:119685,IS,NA,putative transposase,UTI89_P040,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1988,0
gene:vir:101339,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19663,Plasmid,Hypothetical plasmid protein,hypothetical protein,D742_p2019,NA,NA,NA,NA,NA,NA
rep21_1_rep(pWBG754)_GQ900396.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:170540,Prophage,NA,None,SPA4295,NA,NA,NA,NA,NA,NA
gene:plasmid:15501,IS,NA,IS6-like element IS1216 family transposase,EF_RS16205,IS1216E,IS6,None,Enterococcus faecium,1350,0
gene:vir:101402,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:122679,Plasmid,Unclassified plasmid gene,None,p165897_s002,NA,NA,NA,NA,NA,NA
gene:plasmid:18165,IS,NA,putative transposase,pSD10p15,ISTesp3,IS3,IS51,Terrabacter sp.,103,6.00E-22
gene:proph:179455,Prophage,NA,head-DNA stabilization protein of prophage,c3169,NA,NA,NA,NA,NA,NA
gene:plasmid:121618,TE,NA,streptomycin 3''-adenyltransferase,pB3_p31,TnAs3,NA,NA,Aeromonas salmonicida,906,0
gene:plasmid:28968,Plasmid,Hypothetical plasmid protein,hypothetical protein,pGB3631_p4,NA,NA,NA,NA,NA,NA
gene:vir:101325,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6513,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:178168,Prophage,NA,single strand binding protein,SPs0614,NA,NA,NA,NA,NA,NA
gene:proph:160280,Prophage,NA,single-strand DNA-binding protein,SAOUHSC_02071,NA,NA,NA,NA,NA,NA
gene:plasmid:15985,TE,NA,Tn1 transposase,p165897_056,Tn2,NA,NA,Escherichia coli,5794,0
gene:plasmid:132175,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,cold-shock DNA-binding protein family protein,LACR_C48,NA,NA,NA,NA,NA,NA
gene:plasmid:87115,Plasmid,Hypothetical plasmid protein,hypothetical protein,pGdh442_p07,NA,NA,NA,NA,NA,NA
gene:plasmid:112754,Plasmid,Unclassified plasmid gene,None,SSP_RS12550,NA,NA,NA,NA,NA,NA
gene:plasmid:84555,IS,NA,transposition protein,D616_p81123,IS1R,IS1,None,Escherichia coli,999,0
gene:plasmid:97767,Plasmid,Hypothetical plasmid protein,hypothetical protein,pC223_p3,NA,NA,NA,NA,NA,NA
gene:vir:1132,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:1922,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:158847,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:vir:96889,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:161191,Prophage,NA,hypothetical protein,Amet_4037,NA,NA,NA,NA,NA,NA
gene:plasmid:19654,Plasmid,Hypothetical plasmid protein,hypothetical protein,D742_p2027,NA,NA,NA,NA,NA,NA
gene:vir:3014,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:121846,IS,NA,IS1 ORF2,SSON_P160,IS1S,IS1,None,Shigella sonnei,991,0
gene:plasmid:28774,Plasmid,Unclassified plasmid gene,helix-turn-helix domain-containing protein,VRA0062,NA,NA,NA,NA,NA,NA
gene:plasmid:24445,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM2.0123c,NA,NA,NA,NA,NA,NA
gene:vir:4525,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:169115,Prophage,NA,hypothetical protein,SBO_0951,NA,NA,NA,NA,NA,NA
gene:plasmid:133358,Plasmid,Hypothetical plasmid protein,hypothetical protein,pBF9343.07,NA,NA,NA,NA,NA,NA
gene:plasmid:85850,Plasmid,Plasmid biosynthesis_regulatory_enzymes,3-dehydroquinate dehydratase,Rsph17025_3145,NA,NA,NA,NA,NA,NA
gene:plasmid:147285,IS,NA,MerR family transcriptional regulator,Shewana3_4323,ISShes11,Tn3,None,Shewanella sp.,874,0
gene:plasmid:117289,Plasmid,PTTREG,tRNA,Rsph17025_R0064,NA,NA,NA,NA,NA,NA
gene:vir:105399,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|305|ICESauST398-1|GenBank|AM990992|997771..1015802,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:134946,Plasmid,PTTREG,tRNA,TM1040_R0076,NA,NA,NA,NA,NA,NA
gene:vir:95246,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:16997,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,klebicin B immunity,pKlebB-k17/80_p4,NA,NA,NA,NA,NA,NA
gene:proph:181173,Prophage,NA,Rz endopeptidase from lambdoid prophage DLP12,UTI89_C1304,NA,NA,NA,NA,NA,NA
gene:plasmid:28913,Plasmid,Plasmid non_conjugative efflux_transport,SulP family inorganic anion transporter,SE_RS11950,NA,NA,NA,NA,NA,NA
gene:vir:6613,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:91806,IS,NA,replication initiator protein,KPN_pKPN5p08196,IS15DIV,IS6,None,Salmonella typhimurium,147,3.00E-35
gene:vir:1255,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181053,Prophage,NA,endolysin,UTI89_C0932,NA,NA,NA,NA,NA,NA
gene:vir:101356,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14520,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,bacteriocin-associated integral membrane protein,CPE_RS00030,NA,NA,NA,NA,NA,NA
gene:plasmid:29011,Plasmid,Plasmid relaxase and mobilization machinery,putative MOB protein,Q172_3,NA,NA,NA,NA,NA,NA
gene:vir:99505,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:94840,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:131710,IS,NA,None,Rsph17025_3477,ISHne1,IS3,IS51,Hyphomonas neptunium,81.8,5.00E-16
gene:plasmid:116637,Plasmid,Plasmid non_conjugative efflux_transport,sugar ABC transporter permease,RHE_PB00076,NA,NA,NA,NA,NA,NA
gene:proph:181094,Prophage,NA,bacteriophage V tail protein,UTI89_C2964,NA,NA,NA,NA,NA,NA
gene:plasmid:24088,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM1.08,NA,NA,NA,NA,NA,NA
gene:plasmid:84228,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,Hsp20/alpha crystallin family protein,OANT_RS23015,NA,NA,NA,NA,NA,NA
gene:vir:108626,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:176061,Prophage,NA,major tail protein V,ECP_1177,NA,NA,NA,NA,NA,NA
gene:plasmid:28758,Plasmid,Hypothetical plasmid protein,hypothetical protein,VRA0045,NA,NA,NA,NA,NA,NA
gene:plasmid:110805,IS,NA,None,pTP10_p43,IS5564,IS481,None,Corynebacterium striatum,240,5.00E-64
gene:plasmid:123346,IS,NA,putative transposase,O2ColV72,ISSso4,IS21,None,Shigella sonnei,2613,0
gene:proph:159067,Prophage,NA,protein YnfN,b1551,NA,NA,NA,NA,NA,NA
gene:vir:2039,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:117795,TE,NA,NTP-binding protein,SC036,TnAs3,NA,NA,Aeromonas salmonicida,1921,0
gene:vir:4515,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:83741,TE,NA,resolvase,YpIP275_pIP1202_0054,Tn5393,NA,NA,Erwinia amylovora,1203,0
gene:proph:168395,Prophage,NA,hypothetical protein,XCC_RS10700,NA,NA,NA,NA,NA,NA
gene:plasmid:115790,Plasmid,Plasmid transposition_recombination_integration,transposase,LSEI_A07,NA,NA,NA,NA,NA,NA
ICEberg|311|ICESsu05ZYH33-1|GenBank|CP000407|888251..906281,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85125,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW6932_p12,NA,NA,NA,NA,NA,NA
gene:plasmid:156392,Plasmid,Unclassified plasmid gene,putative transcriptional repressor,pVEF224,NA,NA,NA,NA,NA,NA
gene:proph:163567,Prophage,NA,hypothetical protein,SH2361,NA,NA,NA,NA,NA,NA
gene:vir:101324,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85798,Plasmid,Plasmid biosynthesis_regulatory_enzymes,glycoside hydrolase family protein,Rsph17025_3709,NA,NA,NA,NA,NA,NA
gene:proph:179458,Prophage,NA,head-tail joining protein of prophage,c3172,NA,NA,NA,NA,NA,NA
gene:vir:4885,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:147577,Plasmid,Hypothetical plasmid protein,hypothetical protein,SAUSA300_pUSA030036,NA,NA,NA,NA,NA,NA
gene:plasmid:126350,Plasmid,Plasmid non_conjugative efflux_transport,NukE,PPI1_p28,NA,NA,NA,NA,NA,NA
gene:proph:183600,IS,NA,IS1 ORF2,SFV_1370,IS1X1,IS1,None,Shigella flexneri,967,0
gene:plasmid:148286,IS,NA,IS256-like element ISTth4 family transposase,TTH_RS10410,ISTth4,IS256,None,Thermus thermophilus,2420,0
gene:proph:163468,Prophage,NA,hypothetical protein,SH2089,NA,NA,NA,NA,NA,NA
gene:plasmid:85220,IS,NA,putative transposase,pDB0R0p11,IS982,IS982,None,Lactococcus lactis,1308,0
gene:proph:163563,Prophage,NA,hypothetical protein,SH2397,NA,NA,NA,NA,NA,NA
gene:plasmid:19960,Plasmid ARG,Plasmid ARG,neomycin resistance protein,pUB110_p03,NA,NA,NA,NA,NA,NA
gene:plasmid:28627,Plasmid,Hypothetical plasmid protein,hypothetical protein,pETB_p35,NA,NA,NA,NA,NA,NA
gene:plasmid:136923,Plasmid,PTTREG,transcriptional repressor,pSM19035_014,NA,NA,NA,NA,NA,NA
gene:proph:175651,Prophage,NA,Cadmium efflux system accessory protein,MGAS10270_Spy1910,NA,NA,NA,NA,NA,NA
gene:proph:163488,Prophage,NA,hypothetical protein,SH1795,NA,NA,NA,NA,NA,NA
gene:plasmid:152256,IS,NA,aminoglycoside 6-adenylyltransferase,SEA0012,ISCco2,IS1595,ISPna2,Campylobacter coli,979,0
gene:plasmid:82020,Plasmid,Plasmid biosynthesis_regulatory_enzymes,isochorismatase hydrolase,Smed_5346,NA,NA,NA,NA,NA,NA
gene:plasmid:151637,Plasmid,Plasmid biosynthesis_regulatory_enzymes,rRNA methylase,pSES22_02,NA,NA,NA,NA,NA,NA
gene:proph:181325,IS,NA,IS1 ORF,SSON_2439,IS1S,IS1,None,Shigella sonnei,991,0
gene:plasmid:24103,Plasmid,Hypothetical plasmid protein,hypothetical protein,HCM1.30c,NA,NA,NA,NA,NA,NA
gene:plasmid:87413,TE,NA,hypothetical protein,D616_p80011,TnAs3,NA,NA,Aeromonas salmonicida,2553,0
gene:proph:184799,Prophage,NA,recombinase RecT,LREU_RS04320,NA,NA,NA,NA,NA,NA
gene:plasmid:129630,IS,NA,putative transporter protein,ND021,ISPpu12,ISL3,None,Pseudomonas putida,1770,0
gene:vir:4551,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:139668,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2R_48,NA,NA,NA,NA,NA,NA
gene:vir:7210,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:15444,Plasmid,Hypothetical plasmid protein,hypothetical protein,pAM373_p18,NA,NA,NA,NA,NA,NA
gene:plasmid:152247,IS,NA,IS431mec-like transposase,SEA0020,IS257R2,IS6,None,Staphylococcus aureus,1338,0
gene:plasmid:87118,Plasmid,PTTREG,transcriptional regulator type FNR,pGdh442_12,NA,NA,NA,NA,NA,NA
gene:vir:6954,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154426,IS,NA,hypothetical protein,pFBAOT6.84,ISPa38,Tn3,None,Pseudomonas aeruginosa,345,1.00E-95
gene:proph:173051,Prophage,NA,transposase IS3/IS911 family protein,Noca_1092,NA,NA,NA,NA,NA,NA
gene:plasmid:157476,Plasmid,Plasmid non_conjugative efflux_transport,putative permease component of ABC transporter,pRL90078,NA,NA,NA,NA,NA,NA
gene:proph:164082,Prophage,NA,phage transcriptional regulator AlpA,Sfum_3844,NA,NA,NA,NA,NA,NA
gene:plasmid:142052,IS,NA,IS1 ORF2,SBO_P035,IS1F,IS1,None,Escherichia coli,975,0
gene:vir:7304,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19405,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:124082,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,lexA repressor,pCPF4969_42,NA,NA,NA,NA,NA,NA
gene:vir:108740,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:1142,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163942,Prophage,NA,hypothetical protein,EcE24377A_1783,NA,NA,NA,NA,NA,NA
gene:vir:2021,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:123356,IS,NA,hypothetical protein,O2ColV82,ISEc37,IS91,None,Escherichia coli,484,4.00E-137
gene:plasmid:123189,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2ColV106,NA,NA,NA,NA,NA,NA
gene:proph:176074,Prophage,NA,lysis protein S,ECP_1159,NA,NA,NA,NA,NA,NA
gene:plasmid:15355,Plasmid,Hypothetical plasmid protein,hypothetical protein,R751p02,NA,NA,NA,NA,NA,NA
gene:proph:181135,Prophage,NA,portal protein,UTI89_C5119,NA,NA,NA,NA,NA,NA
gene:plasmid:145686,Plasmid,Plasmid biosynthesis_regulatory_enzymes,putative glycosyltransferase,Pcryo_2502,NA,NA,NA,NA,NA,NA
gene:plasmid:109135,IS,NA,"transposase, IS26",P91278ORF_006,IS26,IS6,None,Proteus vulgaris,1421,0
gene:plasmid:146149,Plasmid,PTTREG,rRNA,Dgeo_R0066,NA,NA,NA,NA,NA,NA
gene:plasmid:87726,Plasmid,PTTREG,XRE family transcriptional regulator,PsycPRwf_2396,NA,NA,NA,NA,NA,NA
gene:plasmid:10522,Plasmid,Unclassified plasmid gene,unknown,pRAY_0015,NA,NA,NA,NA,NA,NA
gene:vir:10443,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163938,Prophage,NA,hypothetical protein,EcE24377A_1767,NA,NA,NA,NA,NA,NA
rep20_8_repA(SAP063A)_GQ900418.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:127580,Plasmid,Hypothetical plasmid protein,hypothetical protein,pREC1_0063,NA,NA,NA,NA,NA,NA
gene:plasmid:20421,IS,NA,lipoprotein signal peptidase,pWWO_p109,ISPpu12,ISL3,None,Pseudomonas putida,1043,0
gene:plasmid:157759,IS,NA,hypothetical protein,L7046,IS911,IS3,IS3,Shigella dysenteriae,815,0
gene:plasmid:83811,IS,NA,transposase InsB3 for insertion sequence IS26,YpIP275_pIP1202_0053,IS26,IS6,None,Proteus vulgaris,1433,0
gene:proph:184721,Prophage,NA,None,LREU_RS07095,NA,NA,NA,NA,NA,NA
